Tanggal,SAR_VH,SAR_VV
2022-01-01,-15.983394379424583,-8.654255860348274
2022-02-01,-15.516866941543949,-8.564253516603832
2022-03-01,-15.260100845071653,-8.410668277908611
2022-04-01,-15.339450288758005,-8.330848224188093
2022-05-01,-15.282475000214168,-8.225070497101754
2022-06-01,-15.5314317034487,-8.366869477087727
2022-07-01,-15.536720609686736,-8.443524855930857
2022-08-01,-15.749731886675919,-8.714715005502443
2022-09-01,-15.648791594001459,-8.695983466817239
2022-10-01,-15.201680393748557,-8.230560892575916
2022-11-01,-15.424801802740248,-8.24699944371764
2022-12-01,-15.896542201470695,-8.466524358038809
2023-01-01,-16.02807814562367,-8.75632510070296
2023-02-01,-15.666191546633515,-8.621382614048448
2023-03-01,-15.395705876003614,-8.41021866005718
2023-04-01,-15.246709156933148,-8.294360341159104
2023-05-01,-15.551610212749916,-8.506783614576916
2023-06-01,-15.810755766575243,-8.633915775100828
2023-07-01,-15.905941246396724,-8.738743008269195
2023-08-01,-16.28763442400401,-9.185059613315925
2023-09-01,-16.631697094601503,-9.374211998959812
2023-10-01,-16.966635594546474,-9.5986066395795
2023-11-01,-16.726765832698664,-9.195493780416186
2023-12-01,-16.182446233189616,-8.588082127230154
2024-01-01,-16.05820922680255,-8.556168736116053
2024-02-01,-15.770446363556662,-8.550408984709394
2024-03-01,-15.409385429612405,-8.462225004878693
2024-04-01,-15.095358902014048,-8.237179791872196
2024-05-01,-15.645102055115597,-8.498230995575254
2024-06-01,-15.920424539595137,-8.681689042256496
2024-07-01,-16.20381620165369,-8.872812936577404
2024-08-01,-16.13680983524969,-8.957419190584483
2024-09-01,-16.26830485478065,-9.07419720638816
2024-10-01,-16.358832250525708,-9.097336495809813
2024-11-01,-15.835036517894496,-8.500536189954929
2024-12-01,-15.959158382086478,-8.462902957118933
2025-01-01,-16.048689620666103,-8.553319763306812
2025-02-01,-15.74919849933683,-8.547063063014441
2025-03-01,-15.223344367336331,-8.346834471917832
2025-04-01,-15.180200253360809,-8.240766828821378
2025-05-01,-15.232991102248521,-8.1698561770744
2025-06-01,-15.724669074154516,-8.375114225010813
2025-07-01,-15.993518901458343,-8.746387511607285
2025-08-01,-15.789741179809273,-8.695313504097824
2025-09-01,-15.74244886656938,-8.641577656647303
2025-10-01,-15.78655565855303,-8.607376585072236
2025-11-01,-15.62323228170995,-8.195305649538573
2025-12-01,-15.926420767988164,-8.438131954765483
2026-01-01,-16.027409949410448,-8.642378349001913
2026-02-01,-15.724656719515416,-8.56290213980941
2026-03-01,-15.56057082516543,-8.478240090373744
2026-04-01,-15.379018966601922,-8.302470959200496
2026-05-01,-15.639620689477745,-8.438120039784685
2026-06-01,-15.829444127283624,-8.539312084150156
