system:index,SAR_VH,SAR_VV,Tanggal,.geo
0,-23.09635193905882,-14.748247107234548,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-23.231268972939336,-15.23888805105955,2022-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-23.364260776681576,-15.782816516103397,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-23.228511642132258,-15.940648758381036,2022-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-23.081190488104365,-15.445371243156941,2022-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-23.296314589884517,-15.427697802000104,2022-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-23.11630564744185,-14.625470465119246,2022-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-23.20617501368715,-14.742641123276817,2022-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-23.261468052691566,-15.606259921186831,2022-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-23.242012216420566,-16.261975629948573,2022-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-23.20728497115522,-16.157524053678557,2022-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-23.270160819189993,-15.585111845563217,2022-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-23.10076847601094,-15.078075721273796,2023-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-23.057679953373672,-14.435525605979569,2023-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-23.211526520604465,-15.789669313272768,2023-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-23.18528973047505,-15.843179912121888,2023-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-23.103378329377712,-14.623110118853727,2023-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-23.324912952252774,-15.06278167066867,2023-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-23.29793650146463,-14.585134918980769,2023-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-25.190561696567038,-14.742849055232828,2023-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-25.787199680980688,-14.923389663564448,2023-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-26.065281587540227,-15.961291899708538,2023-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-26.100630249958066,-16.546628137044166,2023-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-25.73969266286931,-15.707365739035204,2023-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-25.617867419951693,-14.889410637059315,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-25.681628705960698,-15.1163058218094,2024-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-25.696982675414066,-15.369492724545383,2024-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-26.048297362407634,-16.09725581263872,2024-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-25.695278554668135,-14.889647691138753,2024-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-25.751671615927744,-15.03364164609453,2024-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-25.44357536559465,-14.478798461617268,2024-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-25.854006244499367,-14.846394852659987,2024-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-25.99837079844461,-15.329700858996377,2024-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-25.898779959054615,-15.873382015587048,2024-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-26.166951420579863,-16.7649525177867,2024-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-25.85947524867395,-15.439885098627487,2024-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-25.875220907183955,-15.585121957921539,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-25.674779473839255,-15.108765732525471,2025-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-25.825634992734084,-15.646738693594552,2025-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-26.265524503814625,-16.90677438498642,2025-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-26.36618314357737,-16.205003874584584,2025-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-25.843014800678496,-15.415728855177301,2025-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-25.952874725004357,-15.290323895103727,2025-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-26.216915882328994,-15.50291203295522,2025-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,-26.09159823653197,-15.508146967178517,2025-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-26.254227842718517,-16.377800979292545,2025-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-26.23276120732405,-16.13057947405388,2025-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,-26.183195526530202,-15.642931410702474,2025-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
