system:index,Rata_rata_EVI,Rata_rata_NDVI,Tanggal,.geo
2022_05_09,4760.717011029382,7616.6016244486655,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_25,4900.177529967937,7813.3323605492005,2022-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_10,4566.188691617748,7260.378514397852,2022-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_26,4621.72444506097,7344.349179404142,2022-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_12,4479.17256369809,7023.7866333928305,2022-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_28,4512.640145068467,7000.627871779779,2022-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_08_13,4537.955557273036,6937.131823274312,2022-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_08_29,4577.878544895947,6734.74371915042,2022-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_09_14,4692.238237526562,6930.591127088816,2022-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_09_30,4054.5425380915885,5826.235465676034,2022-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_10_16,3755.899613033479,5403.430163927981,2022-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_11_01,4290.891167781001,6334.7022512042495,2022-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_11_17,4613.732741754485,6998.118970742255,2022-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_12_03,4145.960702289196,6265.823416052198,2022-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_12_19,4557.847201966577,6758.864018961405,2022-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_01_01,4560.221503629935,6794.806575823401,2023-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_01_17,3845.6019063455174,5620.969958971109,2023-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_02_02,4205.227426238788,6139.306307171137,2023-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_02_18,4480.209988596062,6349.265692582975,2023-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
